run_key,trades,net_profit,profit_factor,max_drawdown,validation_net,historical_evaluation_net,net_after_best_1pct_removed,by_adjusted_p,classification
NQ:ALG01_REVERSAL,326,13737.4,1.0432,-0.341333,10486.2,12952.8,-13147.2,1.0,promising_exploratory
NQ:ALG01_DOWN_REVERSAL,152,15834.8,1.1179,-0.271788,22525.6,-22003.4,1355.0,1.0,inconclusive
NQ:ALG01_MOMENTUM,576,-11717.6,0.9767,-0.417521,42827.1,-37959.3,-49577.0,1.0,inconclusive
NQ:ALG02_IBS_RANGE,100,151105.0,1.9116,-0.264084,10366.5,60213.0,136105.1,1.0,promising_exploratory
NQ:ALG04_RSI2_LONG,33,35311.7,1.5971,-0.240807,9864.3,-1596.0,24101.8,1.0,inconclusive
NQ:ALG04_RSI2_LONG_SHORT,45,58470.5,1.7015,-0.230438,34623.5,-6146.2,47260.6,1.0,inconclusive
NQ:ALG04_RSI2_ONE_DAY,49,5290.1,1.0954,-0.238719,-645.8,213.1,-1279.8,1.0,inconclusive
NQ:ALG05_BB_BASIC_MID,33,79636.7,1.8828,-0.328035,7193.9,35154.3,60901.8,1.0,promising_exploratory
NQ:ALG05_BB_TREND_MID,22,58657.8,1.8438,-0.346265,12419.5,20759.4,39922.9,1.0,promising_exploratory
NQ:ALG05_BB_TREND_UPPER,19,90488.1,1.8891,-0.328988,5069.6,20019.5,65643.2,1.0,promising_exploratory
NQ:ALG09_BUY_DIP_20,377,128387.3,1.3139,-0.184286,14062.9,49092.1,47802.7,1.0,promising_exploratory
NQ:ALG03_ADX_DI_INITIAL,111,52513.9,1.371,-0.2064,-11412.8,43976.4,23564.1,1.0,inconclusive
NQ:ALG03_ADX_TUNED,214,123873.6,1.2909,-0.303213,-26205.4,82314.4,57713.9,1.0,inconclusive
NQ:ALG03_ADX_TUNED_EMA200,145,134180.5,1.5753,-0.247459,-7922.6,85511.0,94790.7,1.0,inconclusive
MNQ:ALG01_REVERSAL,275,1067.0,1.0359,-0.043578,1283.7,-120.2,-1051.8,1.0,inconclusive
MNQ:ALG01_DOWN_REVERSAL,127,1546.2,1.1287,-0.038187,2594.3,-2200.2,101.5,1.0,inconclusive
MNQ:ALG01_MOMENTUM,473,-2313.2,0.951,-0.062067,4385.8,-4241.1,-5513.7,1.0,inconclusive
MNQ:ALG02_IBS_RANGE,80,14564.0,2.0033,-0.055904,1445.5,5989.5,13067.4,1.0,promising_exploratory
MNQ:ALG04_RSI2_LONG,26,1222.6,1.192,-0.034901,975.7,-1117.5,103.5,1.0,inconclusive
MNQ:ALG04_RSI2_LONG_SHORT,36,3230.6,1.3744,-0.038656,3443.0,-1576.8,2111.5,1.0,inconclusive
MNQ:ALG04_RSI2_ONE_DAY,40,500.0,1.1002,-0.028421,-293.8,-6.6,-155.1,1.0,inconclusive
MNQ:ALG05_BB_BASIC_MID,29,9442.4,2.2348,-0.054242,701.1,3509.7,7570.8,1.0,promising_exploratory
MNQ:ALG05_BB_TREND_MID,18,5377.8,1.9003,-0.040692,1234.5,2068.6,3506.2,1.0,promising_exploratory
MNQ:ALG05_BB_TREND_UPPER,15,6775.5,1.8158,-0.044791,498.9,1057.0,4291.4,1.0,promising_exploratory
MNQ:ALG09_BUY_DIP_20,316,11114.1,1.2983,-0.028836,953.2,4836.3,3063.7,1.0,promising_exploratory
MNQ:ALG03_ADX_DI_INITIAL,97,5438.2,1.4128,-0.027888,-953.1,4665.3,3598.1,1.0,inconclusive
MNQ:ALG03_ADX_TUNED,189,10956.4,1.262,-0.062678,-2875.7,6948.2,6284.2,1.0,inconclusive
MNQ:ALG03_ADX_TUNED_EMA200,128,13195.3,1.5813,-0.041902,292.8,7762.6,9256.6,1.0,promising_exploratory
